freq	q2m10_std	q2m12_std	q2m13_std	q2m14_std	q2m15_std	q2m16_std	q2m17_std	q2m18_std	q2m19_std	q2m2_std	q2m20_std	q2m21_std	q2m23_std	q2m22_std	q2m24_std	q2m25_std	q2m26_std	q2m27_std	q2m28_std	q2m29_std	q2m3_std	q2m30_std	q2m31_std	q2m6_std	q2m7_std	q2m8_std	q2m9_std	q3m1_std	q3m10_std	q3m11_std	q3m12_std	q3m13_std	q3m17_std	q3m2_std	q3m3_std	q3m4_std	q3m5_std	q3m6_std	q3m7_std	q3m8_std	q3m9_std	q1m1_std	q1m2_std	q1m3_std	q1m4_std	q1m5_std	q1m6_std	q1m7_std	q1m9_std
3713.85	0.699833743	0.55123492	0.629843523	0.62480236	0.515826291	0.609538425	0.629055721	0.553810694	0.537879587	0.55432246	0.535235567	0.518600969	0.599590832	0.635437393	0.594769439	0.548657133	0.537449428	0.668159377	0.541726352	0.534942767	0.508943049	0.592579571	0.506491639	0.429870363	0.507715843	0.524272882	0.54637183	0.585121648	0.594214866	0.536148361	0.533080805	0.601674269	0.538150052	0.558615291	0.790205307	0.643310916	0.578281239	0.694664053	0.613595847	0.639876693	0.573170886	0.589326979	0.630307302	0.497702108	0.576111329	0.649778293	0.61755788	0.57254621	0.514150652
3715.2	0.700330032	0.5510066	0.629598751	0.625044215	0.51589253	0.610147714	0.628418782	0.554669198	0.537816433	0.55444678	0.53496155	0.518765635	0.59921389	0.635763524	0.594616256	0.548492455	0.537227312	0.668320745	0.541865114	0.535275199	0.50926704	0.592176859	0.506640589	0.430212069	0.507334593	0.524698651	0.546316979	0.585214566	0.594347128	0.536920108	0.532973875	0.601983214	0.538246363	0.558663757	0.791245283	0.643606224	0.578268841	0.695011367	0.613740635	0.639781968	0.573273871	0.58938004	0.630213967	0.497669163	0.576030409	0.650271859	0.617300981	0.572603801	0.514111968
3716.55	0.700854229	0.55077731	0.629355174	0.625287146	0.515957837	0.610759501	0.627778492	0.555528691	0.537750338	0.554569905	0.534683695	0.518936656	0.598832523	0.636093393	0.594467434	0.548340907	0.537006045	0.668481824	0.542002866	0.535605484	0.50959273	0.591770582	0.506786993	0.430609576	0.506953472	0.52513941	0.546262156	0.585308043	0.59448413	0.537685625	0.532874692	0.602289513	0.538439594	0.558719292	0.792286219	0.643899247	0.578255778	0.695356086	0.613882822	0.639692665	0.573373115	0.589432301	0.630119192	0.497631271	0.575948869	0.65076282	0.617040462	0.572658484	0.514071566
3717.9	0.701405521	0.55054704	0.629112856	0.625531475	0.516021998	0.611373617	0.627134811	0.556388999	0.537681041	0.55469172	0.534401695	0.519114304	0.598446751	0.636426939	0.594322943	0.548202268	0.536785789	0.668642595	0.542139199	0.535933288	0.509919427	0.591360729	0.506930721	0.431062629	0.506572884	0.525594423	0.546207671	0.585401886	0.59462602	0.538444215	0.53278313	0.602593053	0.538733567	0.558781029	0.793328067	0.644189947	0.578241935	0.695698102	0.614021932	0.639609231	0.573468286	0.589483969	0.630022999	0.497588381	0.575866855	0.651251095	0.616776524	0.572710517	0.514029273
3719.25	0.701983249	0.550315996	0.628871863	0.625777634	0.516085226	0.611989892	0.626487981	0.557250121	0.537608511	0.554812168	0.534115647	0.519298134	0.598056534	0.636764332	0.59418309	0.548076443	0.536566081	0.668803125	0.542274141	0.536259045	0.510246901	0.590947429	0.507071306	0.43156927	0.506192404	0.526062879	0.546153496	0.585495902	0.594772353	0.539195658	0.532699001	0.602893642	0.539130761	0.558848892	0.794370587	0.644478304	0.578227198	0.696037382	0.614158022	0.639531787	0.573559375	0.589534837	0.629925354	0.49754019	0.575784366	0.651736519	0.616508935	0.572759573	0.513985018
3720.6	0.702586611	0.550084198	0.628632267	0.626025693	0.516147269	0.612608131	0.625838165	0.558112163	0.537532929	0.55493125	0.53382531	0.519488552	0.597661941	0.637105614	0.594048114	0.547963632	0.536347478	0.6689635	0.542407616	0.536582221	0.51057411	0.590530833	0.507209235	0.4321278	0.505813248	0.526544536	0.546099865	0.585589667	0.594923602	0.539939127	0.532622532	0.603191376	0.539633745	0.558922515	0.79541372	0.644764209	0.57821153	0.69637397	0.614290902	0.639461423	0.573646267	0.589585443	0.62982636	0.497486839	0.575701567	0.652219286	0.616237979	0.57280586	0.513938984
3721.95	0.703214713	0.549851801	0.628394208	0.626276147	0.516208283	0.613228304	0.625185411	0.558974865	0.537454068	0.5550485	0.533530579	0.519685074	0.597263025	0.637450805	0.593918044	0.547863646	0.536129384	0.669123721	0.542539633	0.536903242	0.510900778	0.590111029	0.507343727	0.432737268	0.505434516	0.527038328	0.54604704	0.585683308	0.595079258	0.540674128	0.532553338	0.603485903	0.540242746	0.559001485	0.796457449	0.645047713	0.578194777	0.696707757	0.614420639	0.639398373	0.573728982	0.589635368	0.62972588	0.497427973	0.575618448	0.652699142	0.615963404	0.57284923	0.513890887
3723.3	0.703866654	0.549618954	0.628157623	0.626529254	0.516268092	0.613850195	0.624529922	0.559838226	0.53737173	0.555164137	0.533231386	0.519887923	0.596859835	0.637800075	0.59379322	0.547776358	0.535911942	0.669283991	0.542669908	0.537221801	0.511226193	0.589688138	0.507474936	0.433394588	0.505056861	0.527543855	0.545995117	0.58577639	0.595239542	0.54140044	0.532491706	0.603777328	0.540958082	0.55908484	0.797501696	0.645328629	0.578177046	0.697038765	0.61454672	0.639342868	0.573807481	0.58968503	0.629624051	0.497363603	0.575534978	0.653176064	0.615685357	0.57288982	0.513841021
3724.65	0.704541437	0.549385627	0.627922724	0.626785374	0.51632693	0.614473552	0.623871929	0.560702169	0.537286086	0.555277924	0.532927694	0.520096907	0.596452281	0.638153345	0.593673611	0.547701863	0.535694962	0.669444212	0.54279864	0.537538095	0.511549881	0.589262289	0.507602619	0.434098876	0.50468042	0.528060271	0.545944188	0.585868866	0.595404324	0.542117495	0.532437261	0.604065403	0.541778146	0.559173099	0.798546327	0.645606966	0.578158107	0.697366941	0.614669487	0.639295655	0.573881537	0.589734287	0.629520861	0.497293526	0.575451509	0.653649992	0.615403764	0.572927334	0.513789021
3726	0.705238029	0.549152075	0.627689415	0.627044668	0.516384759	0.615098382	0.623211431	0.561566809	0.537196946	0.555389622	0.532619349	0.52031186	0.596040454	0.638510674	0.593559629	0.547639846	0.535478351	0.669604549	0.542925562	0.537852046	0.511871301	0.588833472	0.507726618	0.434846761	0.504305095	0.528587126	0.545894507	0.585960465	0.595573587	0.542824833	0.5323902	0.60435008	0.542700949	0.559264878	0.799591246	0.645882724	0.578137922	0.697692239	0.614788379	0.63925704	0.573951111	0.589783149	0.629416277	0.49721763	0.575367739	0.654120915	0.615118646	0.572961891	0.513735101
