freq	kvnp_7_p	kvnp_10_p	kvnp_11_c	kvnp_14_c	7_p_std	10_p_std	11_c_std	14_c_std	p_mean	c_mean
117.45	65.72682	58.86867	68.749916	67.16922	0.735573261	0.587414778	0.742604007	0.710911077	0.66149402	0.726757542
118.8	65.710846	58.803745	68.69202	67.12988	0.735418146	0.586776002	0.742051434	0.71054182	0.661097074	0.726296627
120.15	65.694664	58.73813	68.63342	67.09012	0.735261012	0.586130438	0.741492142	0.710168622	0.660695725	0.725830382
121.5	65.678276	58.671806	68.57416	67.049934	0.735101878	0.585477898	0.740926551	0.709791425	0.660289888	0.725358988
122.85	65.661674	58.604805	68.51421	67.00933	0.734940665	0.584818697	0.740354374	0.709410304	0.659879681	0.724882339
124.2	65.64486	58.537132	68.45359	66.968315	0.734777394	0.584152885	0.739775803	0.709025325	0.659465139	0.724400564
125.55	65.62783	58.46878	68.39228	66.92687	0.734612025	0.583480392	0.739190646	0.708636311	0.659046209	0.723913479
126.9	65.61059	58.39976	68.3303	66.88502	0.734444617	0.582801327	0.738599095	0.708243495	0.658622972	0.723421295
128.25	65.59313	58.330086	68.26763	66.84276	0.734275073	0.582115828	0.738000958	0.70784683	0.65819545	0.722923894
129.6	65.575455	58.259754	68.20429	66.80008	0.734103441	0.581423854	0.737396427	0.707446224	0.657763648	0.722421325
130.95	65.55756	58.188797	68.14027	66.75699	0.733929673	0.580725732	0.736785405	0.707041769	0.657327702	0.721913587
132.3	65.53946	58.1172	68.07557	66.71349	0.733753914	0.580021313	0.736167893	0.706633466	0.656887613	0.721400679
133.65	65.52113	58.044968	68.01019	66.66959	0.733575922	0.579310646	0.735543892	0.706221408	0.656443284	0.72088265
135	65.50259	57.972126	67.944145	66.6253	0.733395891	0.578593977	0.734913543	0.705805689	0.655994934	0.720359616
136.35	65.48381	57.89868	67.87742	66.58059	0.733213529	0.577871367	0.734276704	0.705386028	0.655542448	0.719831366
137.7	65.46482	57.82465	67.81002	66.53549	0.733029127	0.57714301	0.733633423	0.704962707	0.655086069	0.719298065
139.05	65.4456	57.75004	67.74195	66.48999	0.732842493	0.576408947	0.732983747	0.704535631	0.65462572	0.718759689
140.4	65.42616	57.67486	67.67321	66.4441	0.732653722	0.575669275	0.732327677	0.704104894	0.654161499	0.718216286
141.75	65.406494	57.59911	67.6038	66.39782	0.732462757	0.574923996	0.731665212	0.703670497	0.653693376	0.717667855
143.1	65.386604	57.522835	67.53372	66.35115	0.732269616	0.574173552	0.730996352	0.703232439	0.653221584	0.717114396
144.45	65.366486	57.44601	67.462975	66.3041	0.732074262	0.573417696	0.730321146	0.702790815	0.652745979	0.71655598
145.8	65.34613	57.368687	67.39157	66.25666	0.731876596	0.57265694	0.72963964	0.702345529	0.652266768	0.715992585
147.15	65.325554	57.290863	67.319496	66.20885	0.731676794	0.571891256	0.728951749	0.701896771	0.651784025	0.71542426
148.5	65.30474	57.212543	67.246765	66.16065	0.731474681	0.571120691	0.728257588	0.701444352	0.651297686	0.71485097
149.85	65.28369	57.133778	67.17338	66.11209	0.731270277	0.570345748	0.727557184	0.700988554	0.650808012	0.714272869
151.2	65.26241	57.05455	67.099335	66.06315	0.731063639	0.56956625	0.726850482	0.700529189	0.650314944	0.713689836
152.55	65.2409	56.974903	67.02464	66.01385	0.730854767	0.568782629	0.726137576	0.700066446	0.649818698	0.713102011
153.9	65.21915	56.89486	66.949295	65.96419	0.730643565	0.567995113	0.725418466	0.699600323	0.649319339	0.712509394
155.25	65.19716	56.81441	66.87331	65.91416	0.730430033	0.567203592	0.724693247	0.699130727	0.648816812	0.711911987
156.6	65.174934	56.7336	66.79668	65.86378	0.730214209	0.566408529	0.723961873	0.698657846	0.648311369	0.711309859
157.95	65.152466	56.652447	66.719406	65.81305	0.729996035	0.565610091	0.723224352	0.69818168	0.647803063	0.710703016
159.3	65.12975	56.570988	66.641495	65.76197	0.729775453	0.564808643	0.722480752	0.697702228	0.647292048	0.71009149
160.65	65.106804	56.48923	66.56295	65.71055	0.729552637	0.564004253	0.7217311	0.697219585	0.646778445	0.709475343
162	65.08361	56.407192	66.48379	65.65878	0.729327413	0.563197108	0.720975579	0.696733658	0.646262261	0.708854618
163.35	65.06017	56.32492	66.404	65.60669	0.729099801	0.562387661	0.720214045	0.696244726	0.645743731	0.708229385
164.7	65.03648	56.242443	66.32359	65.55426	0.728869761	0.561576197	0.719446593	0.695752603	0.645222979	0.707599598
166.05	65.01255	56.159775	66.24257	65.5015	0.72863739	0.560762854	0.71867332	0.695257383	0.644700122	0.706965351
167.4	64.98837	56.07695	66.16094	65.44843	0.728402592	0.559947966	0.717894224	0.694759253	0.644175279	0.706326738
168.75	64.963936	55.994007	66.07871	65.39504	0.728165327	0.559131917	0.717109402	0.694258119	0.643648622	0.70568376
